N, LoopOrder, AverageElapsedTime, Performance
1000, ijk,4.365316783, 229078449.430743307
1000, ikj,3.085812646, 324063744.247168183
1000, jik,3.963054473, 252330621.972783148
1000, jki,5.301481325, 188626525.047152638
1000, kij,3.077288493, 324961407.474927843
1000, kji,5.140241885, 194543374.112996191
2000, ijk,50.58348181, 158154395.724754572
2000, ikj,24.72005331, 323623897.557039738
2000, jik,40.00003026, 199999848.708447754
2000, jki,113.119008, 70721978.047182426
2000, kij,25.24551943, 316887914.453927755
2000, kji,109.035556, 73370561.807015821
3000, ijk,219.01982, 123276514.427055478
3000, ikj,84.76372079, 318532501.275267184
3000, jik,165.1804891, 163457561.789194435
3000, jki,411.0575163, 65684238.644975737
3000, kij,84.45096078, 319712170.834109068
3000, kji,394.8601296, 68378643.421895206
